0	1	800
2	1	1600
1	3	2700
3	4	2800
3	5	300
4	6	1800
5	8	1000
5	9	500
6	7	800
6	9	800
7	10	700
7	11	600
8	13	700
9	14	800
9	10	1000
10	11	500
10	15	1300
11	12	500
11	16	300
12	16	400
13	14	1100
14	15	800
15	16	800
13	19	800
13	21	300
14	22	300
15	23	900
16	24	700
17	18	500
18	19	600
19	20	500
18	25	600
20	21	320
21	22	200
22	23	600
23	24	1000
20	25	1200
25	26	700
1	0	800
1	2	1600
3	1	2700
4	3	2800
5	3	300
6	4	1800
8	5	1000
9	5	500
7	6	800
9	6	800
10	7	700
11	7	600
13	8	700
14	9	800
10	9	1000
11	10	500
15	10	1300
12	11	500
16	11	300
16	12	400
14	13	1100
15	14	800
16	15	800
19	13	800
21	13	300
22	14	300
23	15	900
24	16	700
18	17	500
19	18	600
20	19	500
25	18	600
21	20	320
22	21	200
23	22	600
24	23	1000
25	20	1200
26	25	700
